Photo Name,Latitude,Longitude,Altitude,Yaw,Pitch,Roll,Horizontal Accuracy,Vertical Accuracy
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122042_0073.JPG,25.357534224,46.452256596,695.449,-93.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122045_0074.JPG,25.357525899,46.452122043,695.403,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122048_0075.JPG,25.357516585,46.451986345,695.417,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122051_0076.JPG,25.357508095,46.45184923,695.451,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122053_0077.JPG,25.357500072,46.451715219,695.455,-93.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122056_0078.JPG,25.35749168,46.451578242,695.434,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122059_0079.JPG,25.357483659,46.451445,695.43,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122101_0080.JPG,25.357475425,46.451309048,695.44,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122104_0081.JPG,25.357467024,46.451171483,695.457,-93.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122107_0082.JPG,25.357458755,46.451035985,695.469,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122110_0083.JPG,25.357450695,46.450900098,695.435,86,-89.9,180,0.03,0.06
